DrugID,DrugName,CID,ChEBI_ID
471,Brimonidine,2435,CHEBI:3175
472,Brincidofovir,483477,CHEBI:231032
473,Brinzolamide,68844,CHEBI:3176
474,Brivaracetam,9837243,CHEBI:133013
475,Brofaromine,44571,
476,Bromazepam,2441,CHEBI:31302
477,Bromfenac,60726,CHEBI:240107
478,Bromisoval,2447,CHEBI:77043
479,Bromocriptine,31101,CHEBI:3181
480,Bromodiphenhydramine,2444,CHEBI:59177
481,Bromotheophylline,11808,
482,Bromperidol,2448,CHEBI:31305
483,Brompheniramine,6834,CHEBI:3183
484,Brotizolam,2451,CHEBI:31308
485,Broxuridine,6035,CHEBI:472552
486,Bryostatin 1,5280757,CHEBI:88353
487,Bucindolol,51045,
488,Buclizine,6729,CHEBI:3205
489,Budesonide,5281004,CHEBI:3207
490,Budipine,68778,CHEBI:135228
491,Bufexamac,2466,CHEBI:31317
492,Buflomedil,2467,CHEBI:94538
493,Buformin,2468,CHEBI:3209
494,Bufotenine,10257,CHEBI:3210
495,Bufuralol,71733,CHEBI:34593
496,Bumadizone,19161,CHEBI:76119
497,Bumetanide,2471,CHEBI:3213
