DrugID,DrugName,SideEffect
2686.0,Simvastatin,C0026848
2686.0,Simvastatin,C0026857
2686.0,Simvastatin,C0027497
2686.0,Simvastatin,C0028084
2686.0,Simvastatin,C0028259
2686.0,Simvastatin,C0029089
2686.0,Simvastatin,C0028866
2686.0,Simvastatin,C0030193
2686.0,Simvastatin,C0030305
2686.0,Simvastatin,C0030554
2686.0,Simvastatin,C0031117
2686.0,Simvastatin,C0032533
2686.0,Simvastatin,C0032961
2686.0,Simvastatin,C0033687
2686.0,Simvastatin,C0948586
2686.0,Simvastatin,C0033774
2686.0,Simvastatin,C0034150
2686.0,Simvastatin,C1368065
2686.0,Simvastatin,C0035410
2686.0,Simvastatin,C0037199
2686.0,Simvastatin,C0037317
2686.0,Simvastatin,C0851578
2686.0,Simvastatin,C0038325
2686.0,Simvastatin,C0038999
2686.0,Simvastatin,C0040034
2686.0,Simvastatin,C0040822
2686.0,Simvastatin,C0041834
2686.0,Simvastatin,C0041912
2686.0,Simvastatin,C0042109
2686.0,Simvastatin,C0042384
2686.0,Simvastatin,C0042571
2686.0,Simvastatin,C0042963
2686.0,Simvastatin,C0085593
2686.0,Simvastatin,C0085605
2686.0,Simvastatin,C0086543
2686.0,Simvastatin,C0086565
2686.0,Simvastatin,C0151480
2686.0,Simvastatin,C0151576
2686.0,Simvastatin,C0853034
2686.0,Simvastatin,C0151632
2686.0,Simvastatin,C0151786
2686.0,Simvastatin,C0151798
2686.0,Simvastatin,C0151849
2686.0,Simvastatin,C0852911
2686.0,Simvastatin,C0152025
2686.0,Simvastatin,C0152027
2686.0,Simvastatin,C0206062
2686.0,Simvastatin,C0231218
2686.0,Simvastatin,C0234215
2686.0,Simvastatin,C2047937
2686.0,Simvastatin,C0231528
2686.0,Simvastatin,C0233794
2686.0,Simvastatin,C0234233
2686.0,Simvastatin,C0234238
2686.0,Simvastatin,C0235309
2686.0,Simvastatin,C0232487
2686.0,Simvastatin,C0242350
2686.0,Simvastatin,C0338656
2686.0,Simvastatin,C0009241
2686.0,Simvastatin,C0344232
2686.0,Simvastatin,C0349506
2686.0,Simvastatin,C0162830
2686.0,Simvastatin,C0409974
2686.0,Simvastatin,C0024141
2686.0,Simvastatin,C0427055
2686.0,Simvastatin,C0919980
2686.0,Simvastatin,C0438717
2686.0,Simvastatin,C0520463
2686.0,Simvastatin,C0542476
2686.0,Simvastatin,C0543698
2686.0,Simvastatin,C1142139
2686.0,Simvastatin,C0549622
2686.0,Simvastatin,C0687133
2686.0,Simvastatin,C0751295
2686.0,Simvastatin,C0917801
2686.0,Simvastatin,C0919715
2686.0,Simvastatin,C1142028
2686.0,Simvastatin,C1510497
2686.0,Simvastatin,C2004489
2686.0,Simvastatin,C2239176
2686.0,Simvastatin,C0345904
