DrugID,DrugName,CID,ChEBI_ID,Pathway_ID,Pathway_Name,Evidence,Species
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-9748784,Drug ADME,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-9749641,Aspirin ADME,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-983712,Ion channel transport,TAS,Homo sapiens
121,Acitretin,5284513,CHEBI:50173,R-HSA-162582,Signal Transduction,TAS,Homo sapiens
121,Acitretin,5284513,CHEBI:50173,R-HSA-5362517,Signaling by Retinoic Acid,TAS,Homo sapiens
121,Acitretin,5284513,CHEBI:50173,R-HSA-9006931,Signaling by Nuclear Receptors,TAS,Homo sapiens
123,Aclidinium,11434515,CHEBI:65346,R-HSA-162582,Signal Transduction,TAS,Homo sapiens
123,Aclidinium,11434515,CHEBI:65346,R-HSA-372790,Signaling by GPCR,TAS,Homo sapiens
123,Aclidinium,11434515,CHEBI:65346,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),TAS,Homo sapiens
123,Aclidinium,11434515,CHEBI:65346,R-HSA-375280,Amine ligand-binding receptors,TAS,Homo sapiens
123,Aclidinium,11434515,CHEBI:65346,R-HSA-390648,Muscarinic acetylcholine receptors,TAS,Homo sapiens
123,Aclidinium,11434515,CHEBI:65346,R-HSA-500792,GPCR ligand binding,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-1430728,Metabolism,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-211859,Biological oxidations,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-211945,Phase I - Functionalization of compounds,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-382551,Transport of small molecules,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-425407,SLC-mediated transmembrane transport,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-561048,Organic anion transport by SLC22 transporters,TAS,Homo sapiens
127,Acyclovir,135398513,CHEBI:2453,R-HSA-9955298,SLC-mediated transport of organic anions,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-110331,Cleavage of the damaged purine,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-1237112,Methionine salvage pathway,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-1430728,Metabolism,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-15869,Metabolism of nucleotides,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-1614635,Sulfur amino acid metabolism,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-1643685,Disease,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-382551,Transport of small molecules,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-425407,SLC-mediated transmembrane transport,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-5619063,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-5619102,SLC transporter disorders,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-5619115,Disorders of transmembrane transporters,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-5668914,Diseases of metabolism,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-71291,Metabolism of amino acids and derivatives,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-73884,Base Excision Repair,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-73894,DNA Repair,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-73927,Depurination,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-73929,"Base-Excision Repair, AP Site Formation",TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-74217,Purine salvage,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-8956321,Nucleotide salvage,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-9734195,Defective APRT disrupts adenine salvage,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-9734207,Nucleotide salvage defects,TAS,Homo sapiens
132,Adenine,190,CHEBI:16708,R-HSA-9735804,Diseases of nucleotide metabolism,TAS,Homo sapiens
136,Afatinib,10184653,CHEBI:61390,R-HSA-1227986,Signaling by ERBB2,TAS,Homo sapiens
136,Afatinib,10184653,CHEBI:61390,R-HSA-1227990,Signaling by ERBB2 in Cancer,TAS,Homo sapiens
136,Afatinib,10184653,CHEBI:61390,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,TAS,Homo sapiens
136,Afatinib,10184653,CHEBI:61390,R-HSA-162582,Signal Transduction,TAS,Homo sapiens
136,Afatinib,10184653,CHEBI:61390,R-HSA-1643685,Disease,TAS,Homo sapiens
