DrugID,DrugName,gene_name,gene_concept_id,interaction_types,interaction_source_db_name,interaction_score,evidence_score
73.0,7-Hydroxystaurosporine,CHEK1,hgnc:1925,,NCI,0.4071691499483286,2.0
1422.0,Gemcitabine,CHEK1,hgnc:1925,,NCI,0.0502677962899171,4.0
2285.0,Perphenazine,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.0146019281360779,1.0
2651.0,Sarpogrelate,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.0912620508504874,1.0
1658.0,Ketanserin,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.0182524101700974,1.0
1878.0,Metergoline,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.0202804557445527,1.0
263.0,Apomorphine,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.016593100154634,1.0
2589.0,Ritanserin,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.016593100154634,1.0
2588.0,Risperidone,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.011062066769756,2.0
777.0,Clozapine,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.011903745763107,3.0
2996.0,Trifluoperazine,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.0140403155154596,1.0
2277.0,Pergolide,HTR2C,hgnc:5295,agonist,GuideToPharmacology,0.0243365468934633,1.0
1557.0,Idalopirdine,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.1825241017009749,1.0
283.0,Aripiprazole lauroxil,HTR2C,hgnc:5295,agonist,GuideToPharmacology,0.0228155127126218,1.0
2673.0,Sertindole,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.081121822978211,4.0
1785.0,MK-212,HTR2C,hgnc:5295,agonist,GuideToPharmacology,0.0521497433431357,1.0
524.0,Cabergoline,HTR2C,hgnc:5295,agonist,GuideToPharmacology,0.0243365468934633,1.0
2897.0,Thioridazine,HTR2C,hgnc:5295,inhibitor,GuideToPharmacology,0.0429468474590529,2.0
3168.0,m-Chlorophenylpiperazine,HTR2C,hgnc:5295,agonist,GuideToPharmacology,0.0456310254252437,1.0
