DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
avibactam,4,3,7,True
avilamycin,0,1,1,True
axelopran,4,0,4,True
axitinib,17,17,34,True
azacitidine,16,24,40,True
azaperone,2,33,35,True
azapropazone,5,36,41,True
azatadine,9,27,36,True
azathioprine,26,17,43,True
azd-3043,17,19,36,True
azd-5991,1,0,1,True
azelaic acid,33,1,34,True
azelastine,39,28,67,True
azelnidipine,3,38,41,True
azidamfenicol,0,2,2,True
azidocillin,4,4,8,True
azilsartan medoxomil,12,19,31,True
azimilide,10,17,27,True
azithromycin,18,20,38,True
azlocillin,9,7,16,True
azosemide,26,10,36,True
aztreonam,5,38,43,True
bacampicillin,1,3,4,True
bacitracin,44,4,48,True
bafilomycin a1,0,1,1,True
balaglitazone,22,11,33,True
balsalazide,54,16,70,True
bambermycins,1,1,2,True
bambuterol,38,1,39,True
bamifylline,3,17,20,True
banoxantrone,0,6,6,True
barbexaclone,36,22,58,True
barbital,59,12,71,True
baricitinib,4,35,39,True
barnidipine,12,49,61,True
batefenterol,5,29,34,True
batimastat,0,1,1,True
bazedoxifene,0,4,4,True
beclamide,20,9,29,True
beclomethasone dipropionate,24,20,44,True
becocalcidiol,1,6,7,True
bedaquiline,10,14,24,True
befunolol,0,1,1,True
belinostat,19,12,31,True
belotecan,0,2,2,True
belumosudil,8,1,9,True
belzutifan,5,6,11,True
bempedoic acid,6,4,10,True
benactyzine,22,9,31,True
benazepril,5,36,41,True
benazeprilat,15,19,34,True
bencyclane,36,6,42,True
bendamustine,0,27,27,True
bendazac,10,0,10,True
bendroflumethiazide,48,14,62,True
benfluorex,24,1,25,True
benidipine,18,39,57,True
benmoxin,58,6,64,True
benorilate,51,11,62,True
benoxaprofen,31,29,60,True
benperidol,22,3,25,True
benserazide,41,1,42,True
bentazepam,41,0,41,True
benzatropine,49,13,62,True
benzbromarone,3,16,19,True
benzgalantamine,11,5,16,True
benzhydrocodone,2,16,18,True
benzilone,0,23,23,True
benziodarone,1,0,1,True
benznidazole,29,2,31,True
benzocaine,68,1,69,True
benzoctamine,26,6,32,True
benzoic acid,1,10,11,True
benzonatate,4,1,5,True
benzphetamine,3,43,46,True
benzquinamide,18,6,24,True
benzthiazide,24,32,56,True
benzydamine,55,5,60,True
benzyl alcohol,10,78,88,True
benzylpenicillin,25,20,45,True
benzylpenicilloyl polylysine,10,5,15,True
benzylthiouracil,2,8,10,True
bepotastine,1,40,41,True
bepridil,17,49,66,True
beraprost,34,4,38,True
berberine ursodeoxycholate,4,11,15,True
bergapten,2,0,2,True
berotralstat,8,39,47,True
besifloxacin,0,1,1,True
beta-d-galactosamine,1,2,3,True
beta-isosparteine,5,11,16,True
beta-naphthoflavone,3,4,7,True
betahistine,4,8,12,True
betaine,11,7,18,True
betamethasone,11,52,63,True
betamethasone phosphate,6,25,31,True
betaxolol,20,25,45,True
bethanechol,4,2,6,True
bethanidine,12,13,25,True
betrixaban,2,31,33,True
betulinic acid,2,6,8,True
bevantolol,39,14,53,True
bevonium,5,18,23,True
bexagliflozin,27,5,32,True
bexarotene,19,9,28,True
bezafibrate,10,6,16,True
bezitramide,18,10,28,True
bicifadine,12,17,29,True
bicisate,6,28,34,True
bictegravir,1,8,9,True
bietaserpine,5,27,32,True
bifemelane,12,18,30,True
bifeprunox,25,2,27,True
bifonazole,5,13,18,True
bilastine,22,0,22,True
bimatoprost,8,1,9,True
binimetinib,27,0,27,True
bioallethrin,0,7,7,True
biochanin a,2,6,8,True
biperiden,1,29,30,True
biricodar,3,1,4,True
bisacodyl,6,8,14,True
bisegliptin,25,0,25,True
bismuth subcitrate potassium,39,33,72,True
bismuth subgallate,20,7,27,True
bismuth subnitrate,36,18,54,True
bismuth subsalicylate,2,10,12,True
bisoprolol,12,67,79,True
bisoxatin,42,3,45,True
bitolterol,23,7,30,True
bivalirudin,9,16,25,True
bleomycin,23,25,48,True
blonanserin,5,60,65,True
boceprevir,19,12,31,True
bolandiol,0,1,1,True
bolasterone,5,1,6,True
boldenone,1,4,5,True
bopindolol,12,29,41,True
bornaprine,18,0,18,True
bortezomib,47,13,60,True
bortezomib d-mannitol,1,0,1,True
bosentan,49,19,68,True
bosutinib,14,31,45,True
bq-123,5,16,21,True
brefeldin a,14,6,20,True
brequinar,2,9,11,True
bretylium,35,0,35,True
brexanolone,40,0,40,True
brexpiprazole,2,60,62,True
brigatinib,28,1,29,True
brilaroxazine,13,12,25,True
brimonidine,4,36,40,True
brincidofovir,1,6,7,True
brinzolamide,2,0,2,True
brivaracetam,36,42,78,True
brofaromine,4,40,44,True
bromazepam,11,53,64,True
bromfenac,0,5,5,True
bromisoval,27,4,31,True
bromocriptine,42,32,74,True
bromodiphenhydramine,1,0,1,True
bromotheophylline,9,29,38,True
bromperidol,13,16,29,True
brompheniramine,3,64,67,True
brotizolam,8,22,30,True
broxuridine,0,3,3,True
bryostatin 1,5,7,12,True
bucindolol,40,11,51,True
buclizine,13,21,34,True
budesonide,9,51,60,True
budipine,1,0,1,True
bufexamac,4,5,9,True
buflomedil,14,19,33,True
buformin,2,28,30,True
bufotenine,11,35,46,True
bufuralol,17,30,47,True
bumadizone,47,14,61,True
bumetanide,33,25,58,True
bunaftine,0,19,19,True
bunazosin,2,11,13,True
bupivacaine,67,30,97,True
bupranolol,46,15,61,True
buprenorphine,21,56,77,True
bupropion,15,46,61,True
buspirone,32,45,77,True
busulfan,23,3,26,True
butabarbital,2,59,61,True
butacaine,19,13,32,True
butalbital,14,35,49,True
butamben,27,16,43,True
butanilicaine,6,31,37,True
butaperazine,33,5,38,True
buthiazide,39,22,61,True
buthionine sulfoximine,2,2,4,True
butobarbital,11,22,33,True
butorphanol,21,15,36,True
butylphthalide,9,6,15,True
butylscopolamine,1,12,13,True
butyrfentanyl,4,9,13,True
butyrylthiocholine,1,0,1,True
ca4p,1,1,2,True
cabazitaxel,41,1,42,True
cabergoline,39,34,73,True
cabotegravir,0,2,2,True
cabozantinib,11,15,26,True
cadralazine,7,15,22,True
cafedrine,8,19,27,True
caffeine,6,13,19,True
calcifediol,4,0,4,True
calcitriol,19,7,26,True
calcium,7,7,14,True
calcium cation,12,0,12,True
calcium glubionate anhydrous,0,13,13,True
calcium glucoheptonate,7,8,15,True
calcium gluconate,17,39,56,True
