DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
801,Cyanocobalamin,166596686.0,CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2],1355.4,,497.0,12.0,22.0,26.0,PubChem,Available
870,Decamethoxine,118984404.0,CC1CCC(C(C1)OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(CCC2C(C)C)C)C(C)C.[Cl-].[Cl-],693.9,,52.6,0.0,6.0,21.0,PubChem,Available
922,Dexisometheptene mucate,76853225.0,CC(CCC=C(C)C)NC.CC(CCC=C(C)C)NC.C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,492.6,,180.0,8.0,10.0,13.0,PubChem,Available
979,Dihematoporphyrin ether,,,,,,,,,,Unresolved
993,Dimenhydrinate,10660.0,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,470.0,,81.8,1.0,5.0,6.0,PubChem,Available
1061,Dutogliptin,11253490.0,B(C1CCCN1C(=O)CNC2CCNC2)(O)O,241.1,,84.8,4.0,5.0,4.0,PubChem,Available
1067,Ebselen,3194.0,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,274.19,,20.3,0.0,1.0,1.0,PubChem,Available
1072,Edetate calcium disodium anhydrous,6093170.0,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2],374.27,,167.0,0.0,10.0,7.0,PubChem,Available
1102,Emetonium iodide,80084.0,CC[N+](C)(CC)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.[I-],425.3,,9.2,0.0,2.0,8.0,PubChem,Available
1240,Fazadinium bromide,6321422.0,CC1=C(N(C2=CC=CC=[N+]12)N=NN3C4=CC=CC=[N+]4C(=C3C5=CC=CC=C5)C)C6=CC=CC=C6.[Br-].[Br-],604.3,,42.8,0.0,4.0,4.0,PubChem,Available
1268,Ferric cation,29936.0,[Fe+3],55.84,,0.0,0.0,0.0,0.0,PubChem,Available
1269,Ferric maltol,169535.0,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Fe+3],431.2,,148.0,0.0,9.0,0.0,PubChem,Available
1270,Ferric oxide,518696.0,O=[Fe]O[Fe]=O,159.69,,43.4,0.0,3.0,0.0,PubChem,Available
1271,Ferric pyrophosphate,24877.0,[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],745.21,,407.0,0.0,21.0,0.0,PubChem,Available
1272,Ferrous cation,27284.0,[Fe+2],55.84,,0.0,0.0,0.0,0.0,PubChem,Available
1273,Ferrous fumarate,6433164.0,C(=CC(=O)[O-])C(=O)[O-].[Fe+2],169.9,,80.3,0.0,4.0,0.0,PubChem,Available
1274,Ferrous succinate,10464762.0,C(CC(=O)[O-])C(=O)[O-].[Fe+2],171.92,,80.3,0.0,4.0,1.0,PubChem,Available
1399,Gadobenic acid,18177388.0,[H+].[H+].C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],667.7,,220.0,2.0,14.0,15.0,PubChem,Available
1400,Gadodiamide,153921.0,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],573.66,,188.0,2.0,11.0,13.0,PubChem,Available
1401,Gadofosveset trisodium,73049652.0,C1CC(CCC1OP(=O)([O-])OCC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])(C2=CC=CC=C2)C3=CC=CC=C3.[Na+].[Na+].[Na+].[Gd+3],957.9,,269.0,0.0,17.0,18.0,PubChem,Available
1402,Gadopentetic acid,6857474.0,C(CN(CC(=O)O)CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-].[Gd+3],547.57,,205.0,2.0,13.0,13.0,PubChem,Available
1403,Gadoteric acid,158536.0,C1CN(CCN(CCN(CCN1CC(=O)O)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],558.64,,171.0,1.0,12.0,5.0,PubChem,Available
1404,Gadoteridol,60714.0,CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O.[Gd+3],558.7,,154.0,1.0,11.0,5.0,PubChem,Available
