DrugID,DrugName,CID
2936,Tisopurine,135445058.0
2942,Tocladesine,100299.0
2943,Tocopherylquinone,2734086.0
2953,Tolonidine,72138.0
2964,Toyocamycin,11824.0
2974,Transcrocetinate,5281232.0
2980,Trestolone,9838899.0
2981,Trestolone acetate,10246085.0
2982,Tretamine,5799.0
2984,Tretoquinol,65772.0
2987,Triaziquone,6235.0
2989,Tricaine,11400.0
2993,Triclofos,5563.0
3013,Tripamide,5282210.0
3020,Trolamine,7618.0
3022,Trolnitrate,11499.0
3023,Tropatepine,3034047.0
3029,Troxerutin,5486699.0
3032,Tucaresol,55223.0
3035,Tulathromycin A,9832301.0
3037,Tylosin,5280440.0
3038,Tylvalosin,6441094.0
3066,Valnoctamide,20140.0
3067,Valomaciclovir,135544014.0
3068,Valproate bismuth,20835964.0
3097,Vinbarbital,5284636.0
3106,Vinyl ether,8024.0
3107,Vinylbital,72135.0
3128,Xenon,23991.0
3130,Xipamide,26618.0
3137,Zaltoprofen,5720.0
3149,Zinc cation,32051.0
3153,Zolazepam,35775.0
3154,"Zoledronate D,L-Lysine Monohydrate",91826755.0
3159,Zorubicin,57164040.0
3164,beta-Isosparteine,168213.0
3166,cis-Diamminechlorocholylglycinateplatinum(II),154095.0
