STITCH_ID,SIDER_DrugName,PubChemCID,DrugID,MasterDrugName
CID100121892,retigabine,121892,1230.0,Ezogabine
CID100123606,almotriptan,123606,172.0,Almotriptan
CID100123619,etoricoxib,123619,1217.0,Etoricoxib
CID100123631,gefitinib,123631,1420.0,Gefitinib
CID100124087,desloratadine,124087,900.0,Desloratadine
CID100125017,desvenlafaxine,125017,908.0,Desvenlafaxine
CID100129228,rufinamide,129228,2625.0,Rufinamide
CID100132971,abiraterone,132971,94.0,Abiraterone
CID100132999,ivabradine,132999,1645.0,Ivabradine
CID100134018,febuxostat,134018,1242.0,Febuxostat
CID100134019,pixantrone,134019,2383.0,Pixantrone
CID100134780,pomalidomide,134780,2398.0,Pomalidomide
CID100145068,nitric,145068,2096.0,Nitric Oxide
CID100148121,pralatrexate,148121,2411.0,Pralatrexate
CID100148192,atazanavir,148192,306.0,Atazanavir
CID100150311,ezetimibe,150311,1229.0,Ezetimibe
CID100150610,ertapenem,150610,1157.0,Ertapenem
CID100151075,nepafenac,151075,2060.0,Nepafenac
CID100151171,conivaptan,151171,785.0,Conivaptan
CID100153994,clevidipine,153994,733.0,Clevidipine
CID100157920,lubiprostone,157920,1769.0,Lubiprostone
CID100158781,olmesartan,158781,2143.0,Olmesartan
CID100176870,erlotinib,176870,1156.0,Erlotinib
CID100179344,eslicarbazepine,179344,1164.0,Eslicarbazepine acetate
CID100193962,etravirine,193962,1220.0,Etravirine
CID100208898,dronedarone,208898,1051.0,Dronedarone
CID100208902,ramelteon,208902,2529.0,Ramelteon
CID100208908,lapatinib,208908,1682.0,Lapatinib
CID100213039,darunavir,213039,860.0,Darunavir
CID100213046,lurasidone,213046,1776.0,Lurasidone
CID100216210,dabigatran,216210,832.0,Dabigatran
CID100216235,sitaxsentan,216235,2693.0,Sitaxentan
CID100216237,tolvaptan,216237,2957.0,Tolvaptan
CID100216326,lenalidomide,216326,1696.0,Lenalidomide
CID100219024,regadenoson,219024,2538.0,Regadenoson
CID100219078,lacosamide,219078,1669.0,Lacosamide
CID100222786,cortisone,222786,790.0,Cortisone
CID100449193,roflumilast,449193,2605.0,Roflumilast
CID100477468,FK463,477468,1945.0,Micafungin
CID100644241,nilotinib,644241,2080.0,Nilotinib
CID100657298,propylthiouracil,657298,2474.0,Propylthiouracil
CID100667490,6-mercaptopurine,667490,1861.0,Mercaptopurine
CID101349907,methimazole,1349907,1890.0,Methimazole
CID102723601,6-thioguanine,2723601,2926.0,Tioguanine
CID102761171,ethionamide,2761171,1193.0,Ethionamide
CID103010818,d-telaprevir,3010818,2828.0,Telaprevir
CID103052762,prucalopride,3052762,2490.0,Prucalopride
CID103062316,dasatinib,3062316,862.0,Dasatinib
CID103081361,vandetanib,3081361,3075.0,Vandetanib
CID103081362,telavancin,3081362,2829.0,Telavancin
CID104369359,sitagliptin,4369359,2692.0,Sitagliptin
CID104659569,tolcapone,4659569,2950.0,Tolcapone
CID105277135,elvitegravir,5277135,1098.0,Elvitegravir
CID105310993,acipimox,5310993,120.0,Acipimox
