STITCH_ID,SIDER_DrugName,CandidateDrugID,CandidateDrugName,Similarity,ChEBI_ID,CID,ConnectivitySMILES
CID100005404,terconazole,2175,Oteseconazole,0.8333,CHEBI:188153,77050711.0,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)(C4=C(C=C(C=C4)F)F)O)(F)F)OCC(F)(F)F
CID100047471,butoconazole,1661,Ketoconazole,0.8333,CHEBI:47518,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
CID100065863,sertaconazole,20,(S)-econazole,0.8333,CHEBI:82872,12773795.0,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CID100091488,fluocinolone,1320,Fluocinonide,0.8333,CHEBI:5109,9642.0,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
CID100002153,theophylline,481,Bromotheophylline,0.8276,,11808.0,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Br
CID100004272,mycophenolic,2009,Mycophenolic acid,0.8276,CHEBI:168396,446541.0,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O
CID100004042,medroxyprogesterone,1829,Medroxyprogesterone acetate,0.8261,CHEBI:6716,6279.0,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
CID100010631,medroxyprogesterone,1829,Medroxyprogesterone acetate,0.8261,CHEBI:6716,6279.0,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
CID100000232,arginine,268,Aprindine,0.8235,CHEBI:135370,2218.0,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3
CID100002249,atenolol,592,Carteolol,0.8235,CHEBI:3437,2583.0,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
CID100003308,etodolac,1662,Ketorolac,0.8235,CHEBI:6129,3826.0,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
CID100003640,cortisol,790,Cortisone,0.8235,CHEBI:16962,222786.0,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C
CID100003672,ibuprofen,2780,Suprofen,0.8235,CHEBI:9362,5359.0,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O
CID100003821,ketamine,2982,Tretamine,0.8235,CHEBI:27919,5799.0,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
CID100004454,neomycin,452,Bleomycin,0.8235,,5360373.0,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
CID100000338,salicylate,2635,Salicylamide,0.8182,CHEBI:32114,5147.0,C1=CC=C(C(=C1)C(=O)N)O
CID100002019,actinomycin,2636,Salinomycin,0.8182,CHEBI:80025,3085092.0,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O
CID100002375,bicalutamide,2082,Nilutamide,0.8182,CHEBI:7573,4493.0,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
CID100003151,domperidone,1215,Etoperidone,0.8182,CHEBI:135589,40589.0,CCC1=NN(C(=O)N1CC)CCCN2CCN(CC2)C3=CC(=CC=C3)Cl
CID100003151,domperidone,1568,Iloperidone,0.8182,CHEBI:65173,71360.0,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
