Ligand ID,Ligand,Target,Target ID,Target Gene Symbol,Target UniProt ID,Target Ensembl Gene ID,Target Species,Approved,Type,Action,Primary Target,Affinity Median,Affinity Units,PubMed ID
1916,[<sup>3</sup>H]PGE<sub>2</sub>,OATP3A1,1225,SLCO3A1,Q9UIG8,ENSG00000176463,Human,False,,,False,,-,
4748,[<sup>3</sup>H]estrone-3-sulphate,OATP4A1,1226,SLCO4A1,Q96BD0,ENSG00000101187,Human,False,,,False,,-,
4725,[<sup>3</sup>H]digoxin,OATP4C1,1227,SLCO4C1,Q6ZQN7,ENSG00000173930,Human,False,,,False,,-,
4357,probenecid,Organic anion transporter 1,1025,SLC22A6,Q4U2R8,ENSG00000197901,Human,True,Inhibitor,Inhibition,True,4.900000095367432,pIC50,12472777
8798,cefalotin,Organic anion transporter 3,1027,SLC22A8,Q8TCC7,ENSG00000149452,Human,True,Inhibitor,Inhibition,False,7.590000152587891,pIC50,11909604
13271,NPT520-34,Organic anion transporter 3,1027,SLC22A8,Q8TCC7,ENSG00000149452,Human,False,Inhibitor,Inhibition,False,6.599999904632568,pIC50,34117864
8798,cefalotin,Organic anion transporter 4,1030,SLC22A11,Q9NSA0,ENSG00000168065,Human,True,Inhibitor,Inhibition,False,6.699999809265137,pKi,11909604
516,clonidine,Organic cation transporter 1,1019,SLC22A1,O15245,ENSG00000175003,Human,True,Inhibitor,Inhibition,False,6.260000228881836,pKi,9655880
8482,decynium 22,Organic cation transporter 2,1020,SLC22A2,O15244,ENSG00000112499,Human,False,Inhibitor,Inhibition,False,7.0,pKi,9260930
8826,disprocynium24,Organic cation transporter 3,1021,SLC22A3,O75751,ENSG00000146477,Human,False,Inhibitor,Inhibition,False,7.820000171661377,pKi,10196521
4702,4-AMBA,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,Inhibitor,Inhibition,False,2.299999952316284,pKi,15930458|9882198|19789362
4499,Lys[Z(NO<sub>2</sub>)]-Lys[Z(NO<sub>2</sub>)],Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,Inhibitor,Inhibition,False,4.900000095367432,pKi,16868651
4498,Lys[Z(NO<sub>2</sub>)]-Pro,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,Inhibitor,Inhibition,False,,pKi,11284702
9486,Lys[Z(NO<sub>2</sub>)]-Val,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,Inhibitor,Inhibition,False,5.699999809265137,pKi,14706812|36697632
11370,"(3,5)-[<sup>19</sup>F]<sub>2</sub>-Phe-&psi;-Ala",Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,32622809
12598,glycyl-[<sup>13</sup>C<sub>3</sub>]-sarcosine,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,34371711
4489,[<sup>11</sup>C]GlySar,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,18344442
4599,[<sup>14</sup>C]GlySar,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,11284702|7592745|9610386|27543355|11454935|9374833|15567297|18713951|9379359|9753615|18824524|9092716|10578127|10748266|15974593|8843163|30135242
11367,[<sup>18</sup>F]FEPPG,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,32024310
4659,[<sup>3</sup>H]GlySar,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,9706043|22950754|16627568|8956326|20660104|11714740|12538834|16434549|11602669|27903454
11368,[<sup>3</sup>H]-IPP,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,28315445|29684535
11369,[<sup>3</sup>H]-LKP,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,28315445|29684535
12597,[<sup>3</sup>H]mirogabalin,Peptide transporter 1,984,SLC15A1,P46059,ENSG00000088386,Human,False,,,False,,-,36170033
4702,4-AMBA,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,Inhibitor,Inhibition,False,2.5,pKi,16868651|11751927
4499,Lys[Z(NO<sub>2</sub>)]-Lys[Z(NO<sub>2</sub>)],Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,Inhibitor,Inhibition,False,8.0,pKi,16868651|11751927
4498,Lys[Z(NO<sub>2</sub>)]-Pro,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,Inhibitor,Inhibition,False,6.199999809265137,pKi,16868651|11751927
9486,Lys[Z(NO<sub>2</sub>)]-Val,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,Inhibitor,Inhibition,False,7.0,pKi,16868651|11751927
11370,"(3,5)-[<sup>19</sup>F]<sub>2</sub>-Phe-&psi;-Ala",Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,32622809
12599,"Ac-[<sup>13</sup>C,<sup>15</sup>N]PGP",Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,33830084
4489,[<sup>11</sup>C]GlySar,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,15781409
4599,[<sup>14</sup>C]GlySar,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,7592745|9610386|11454935|9374833|15567297|18713951|18824524|9092716|10578127|10748266|24548120|14715149|7756356
11367,[<sup>18</sup>F]FEPPG,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,32024310
4659,[<sup>3</sup>H]GlySar,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,22950754|16434549|27903454|18367661|27836942|26494147
12597,[<sup>3</sup>H]mirogabalin,Peptide transporter 2,985,SLC15A2,Q16348,ENSG00000163406,Human,False,,,False,,-,36170033
4623,[<sup>14</sup>C]histidine,Peptide transporter 3,986,SLC15A3,Q8IY34,ENSG00000110446,Human,False,,,False,,-,11336635
4670,[<sup>3</sup>H]histidine,Peptide transporter 3,986,SLC15A3,Q8IY34,ENSG00000110446,Human,False,,,False,,-,11336635
13090,AJ2-30,Peptide transporter 4,987,SLC15A4,Q8N697,ENSG00000139370,Human,False,Inhibitor,Inhibition,False,5.739999771118164,pIC50,38191941
4623,[<sup>14</sup>C]histidine,Peptide transporter 4,987,SLC15A4,Q8N697,ENSG00000139370,Human,False,,Binding,False,,-,9092568|27845049|29305823
4670,[<sup>3</sup>H]histidine,Peptide transporter 4,987,SLC15A4,Q8N697,ENSG00000139370,Human,False,,,False,,-,16289537|27543355|22950754|27845049
1231,cimetidine,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,3.299999952316284,pKi,16099839|27506881
8482,decynium 22,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,False,Inhibitor,Inhibition,False,7.0,pKi,16099839|27506881
2399,desipramine,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,4.489999771118164,pKi,16099839|27506881
4807,dipyridamole,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,5.900000095367432,pKi,24021350
203,fluoxetine,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,4.639999866485596,pKi,16099839|27506881
2342,quinidine,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,4.599999904632568,pKi,16099839|27506881
2510,quinine,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,4.570000171661377,pKi,16099839|27506881
4607,rhodamine123,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,False,Inhibitor,Inhibition,False,5.989999771118164,pKi,16099839|27506881
2406,verapamil,Plasma membrane monoamine transporter,1120,SLC29A4,Q7RTT9,ENSG00000164638,Human,True,Inhibitor,Inhibition,False,4.730000019073486,pKi,16099839|27506881
8520,compound 58 [PMID: 25037917],PROT,938,SLC6A7,Q99884,ENSG00000011083,Human,False,Inhibitor,Inhibition,True,7.739999771118164,pIC50,25037917
4576,LP-403812,PROT,938,SLC6A7,Q99884,ENSG00000011083,Human,False,Inhibitor,Inhibition,False,7.0,pIC50,19159658
