InChIKey14,DrugName,DrugID,Source,DrugName_Normalized
NQTRBZXDWMDXAQ,Cinazepam,714,Drug_A,cinazepam
PUFQVTATUTYEAL,Cinchocaine,715,Drug_A,cinchocaine
YTRMTPPVNRALON,Cinchophen,716,Drug_B,cinchophen
ZDLBNXXKDMLZMF,Cinitapride,717,Drug_A,cinitapride
KJPRLNWUNMBNBZ,Cinnamaldehyde,718,Drug_A,cinnamaldehyde
DERZBLKQOCDDDZ,Cinnarizine,719,Drug_A,cinnarizine
XAXMYHMKTCNRRZ,Cinolazepam,720,Drug_A,cinolazepam
VDUWPHTZYNWKRN,Cinoxacin,721,Drug_A,cinoxacin
KPSRODZRAIWAKH,Ciprofibrate,722,Drug_A,ciprofibrate
MYSWGUAQZAJSOK,Ciprofloxacin,723,Drug_A,ciprofloxacin
YAORIDZYZDUZCM,Cirazoline,724,Drug_A,cirazoline
DCSUBABJRXZOMT,Cisapride,725,Drug_A,cisapride
WSEQXVZVJXJVFP,Citalopram,726,Drug_A,citalopram
RHGKLRLOHDJJDR,Citrulline,727,Drug_A,citrulline
PTOAARAWEBMLNO,Cladribine,728,Drug_A,cladribine
AGOYDEPGAOXOCK,Clarithromycin,729,Drug_A,clarithromycin
HZZVJAQRINQKSD,Clavulanic acid,730,Drug_A,clavulanic acid
YNNUSGIPVFPVBX,Clemastine,731,Drug_A,clemastine
STJMRWALKKWQGH,Clenbuterol,732,Drug_A,clenbuterol
KPBZROQVTHLCDU,Clevidipine,733,Drug_A,clevidipine
HOOSGZJRQIVJSZ,Clidinium,734,Drug_A,clidinium
QGPKADBNRMWEQR,Clinafloxacin,735,Drug_A,clinafloxacin
KDLRVYVGXIQJDK,Clindamycin,736,Drug_A,clindamycin
CXOXHMZGEKVPMT,Clobazam,737,Drug_A,clobazam
FCSHDIVRCWTZOX,Clobetasol,738,Drug_A,clobetasol
CBGUOGMQLZIXBE,Clobetasol propionate,739,Drug_A,clobetasol propionate
XXIFVOHLGBURIG,Clobetasone,740,Drug_B,clobetasone
YMTMADLUXIRMGX,Clocortolone,741,Drug_B,clocortolone
ARPLCFGLEYFDCN,Clocortolone acetate,742,Drug_A,clocortolone acetate
ACSIXWWBWUQEHA,Clodronic acid,743,Drug_A,clodronic acid
WDDPHFBMKLOVOX,Clofarabine,744,Drug_A,clofarabine
WDQPAMHFFCXSNU,Clofazimine,745,Drug_A,clofazimine
WRCHFMBCVFFYEQ,Clofedanol,746,Drug_B,clofedanol
NENBAISIHCWPKP,Clofenamide,747,Drug_A,clofenamide
KNHUKKLJHYUCFP,Clofibrate,748,Drug_A,clofibrate
CXQGFLBVUNUQIA,Clofibride,749,Drug_A,clofibride
PCLITLDOTJTVDJ,Clomethiazole,750,Drug_A,clomethiazole
JKXQBIZCQJLVOS,Clometocillin,751,Drug_A,clometocillin
GKIRPKYJQBWNGO,Clomifene,752,Drug_A,clomifene
