DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
16,(R)-Rolipram,448055.0,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,275.34,2.2,47.6,1.0,3.0,4.0,PubChem,Available
17,(R)-etodolac,667528.0,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,287.35,2.8,62.3,2.0,3.0,4.0,PubChem,Available
18,(R)-warfarin,54684598.0,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,308.3,2.7,63.6,1.0,4.0,4.0,PubChem,Available
19,(S)-Indapamide,12598931.0,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,365.8,2.9,101.0,2.0,5.0,3.0,PubChem,Available
20,(S)-econazole,12773795.0,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,381.7,5.3,27.1,0.0,2.0,6.0,PubChem,Available
21,"1,10-Phenanthroline",1318.0,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,180.2,1.8,25.8,0.0,2.0,0.0,PubChem,Available
22,"1,2-Benzodiazepine",134664.0,C1=CC=C2C(=C1)C=CC=NN2,144.17,1.9,24.4,1.0,2.0,0.0,PubChem,Available
23,"1,6-Fructose Diphosphate (Linear Form)",,,,,,,,,,Unresolved
24,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,60977.0,CC(=O)OC1(CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,323.4,3.9,29.5,0.0,3.0,6.0,PubChem,Available
25,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",1150567.0,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,379.5,4.3,38.8,0.0,4.0,6.0,PubChem,Available
26,1-Testosterone,236666.0,CC12CCC3C(C1CCC2O)CCC4C3(C=CC(=O)C4)C,288.4,4.0,37.3,1.0,2.0,0.0,PubChem,Available
27,1-benzylimidazole,77918.0,C1=CC=C(C=C1)CN2C=CN=C2,158.2,1.6,17.8,0.0,1.0,2.0,PubChem,Available
28,1-deoxymannojirimycin,72258.0,C1C(C(C(C(N1)CO)O)O)O,163.17,-2.3,93.0,5.0,5.0,1.0,PubChem,Available
29,10-hydroxycamptothecin,97226.0,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O,364.4,0.6,100.0,2.0,6.0,1.0,PubChem,Available
30,16-Bromoepiandrosterone,71613.0,CC12CCC(CC1CCC3C2CCC4(C3CC(C4=O)Br)C)O,369.3,4.6,37.3,1.0,2.0,0.0,PubChem,Available
31,17alpha-Estriol,256737.0,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,288.4,2.5,60.7,3.0,3.0,0.0,PubChem,Available
32,18-methyl-19-nortestosterone,10039774.0,CCC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34,288.4,3.0,37.3,1.0,2.0,1.0,PubChem,Available
33,19-norandrostenedione,92834.0,CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34,272.4,2.5,34.1,0.0,2.0,0.0,PubChem,Available
34,"1alpha,24S-Dihydroxyvitamin D2",9547261.0,CC(C)C(C)(C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O,428.6,5.1,60.7,3.0,3.0,5.0,PubChem,Available
35,1alpha-Hydroxyvitamin D5,10025615.0,CCC(CCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)C(C)C,428.7,7.6,40.5,2.0,2.0,7.0,PubChem,Available
36,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",446998.0,COC1=CC(=CC(=C1OC)OC)CC2=C[NH+]=C(N=C2N)N,291.33,1.1,107.0,3.0,6.0,5.0,PubChem,Available
37,"2,4-thiazolidinedione",5437.0,C1C(=O)NC(=O)S1,117.13,0.1,71.5,1.0,3.0,0.0,PubChem,Available
38,"2,5-Dimethoxy-4-ethylamphetamine",27402.0,CCC1=CC(=C(C=C1OC)CC(C)N)OC,223.31,2.8,44.5,1.0,3.0,5.0,PubChem,Available
39,"2,5-Dimethoxy-4-ethylthioamphetamine",10264356.0,CCSC1=C(C=C(C(=C1)OC)CC(C)N)OC,255.38,2.5,69.8,1.0,4.0,6.0,PubChem,Available
40,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,657038.0,C1=CC(=C2C(=C1)N=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N,283.71,2.4,68.9,1.0,3.0,2.0,PubChem,Available
41,2-Fluoroadenosine,8975.0,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,285.23,-0.6,140.0,4.0,9.0,2.0,PubChem,Available
42,2-Methoxyestradiol,66414.0,CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O,302.4,4.0,49.7,2.0,3.0,1.0,PubChem,Available
43,2-Methoxyethanol,8019.0,COCCO,76.09,-0.8,29.5,1.0,2.0,2.0,PubChem,Available
44,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,688424.0,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,338.8,0.9,118.0,3.0,5.0,2.0,PubChem,Available
45,2-chloroethyl-3-sarcosinamide-1-nitrosourea,100773.0,CN(CC(=O)N)C(=O)N(CCCl)N=O,222.63,-1.0,96.1,1.0,4.0,4.0,PubChem,Available
46,25-desacetylrifapentine,135564528.0,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)O)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,835.0,6.2,214.0,7.0,14.0,4.0,PubChem,Available
47,"3,4-Dihydroxybenzoic Acid",72.0,C1=CC(=C(C=C1C(=O)O)O)O,154.12,1.1,77.8,3.0,4.0,1.0,PubChem,Available
48,"3,5-Diiodotyrosine",6181.0,C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N,432.98,-0.5,83.6,3.0,4.0,3.0,PubChem,Available
49,"3,5-Dinitrocatechol",3870203.0,C1=C(C=C(C(=C1[N+](=O)[O-])O)O)[N+](=O)[O-],200.11,0.7,132.0,2.0,6.0,0.0,PubChem,Available
50,"3,5-diiodothyropropionic acid",160565.0,C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CCC(=O)O)I,510.06,4.2,66.8,2.0,4.0,5.0,PubChem,Available
51,3-isobutyl-1-methyl-7H-xanthine,3758.0,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2,222.24,1.5,69.3,1.0,3.0,2.0,PubChem,Available
52,"4-Bromo-2,5-dimethoxyamphetamine",62065.0,CC(CC1=CC(=C(C=C1OC)Br)OC)N,274.15,2.6,44.5,1.0,3.0,4.0,PubChem,Available
53,"4-Bromo-2,5-dimethoxyphenethylamine",98527.0,COC1=CC(=C(C=C1CCN)OC)Br,260.13,2.1,44.5,1.0,3.0,4.0,PubChem,Available
54,4-Hydroxytestosterone,160615.0,CC12CCC3C(C1CCC2O)CCC4=C(C(=O)CCC34C)O,304.4,3.2,57.5,2.0,3.0,0.0,PubChem,Available
55,4-Methoxyamphetamine,31721.0,CC(CC1=CC=C(C=C1)OC)N,165.23,1.8,35.3,1.0,2.0,3.0,PubChem,Available
56,4-Oxoretinol,5289090.0,CC1=C(C(CCC1=O)(C)C)C=CC(=CC=CC(=CCO)C)C,300.4,4.6,37.3,1.0,2.0,5.0,PubChem,Available
57,4-hydroxycoumarin,54682930.0,C1=CC=C2C(=C1)C(=CC(=O)O2)O,162.14,1.3,46.5,1.0,3.0,0.0,PubChem,Available
58,5-(2-methylpiperazine-1-sulfonyl)isoquinoline,3542.0,CC1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3,291.37,1.0,70.7,1.0,5.0,2.0,PubChem,Available
59,5-androstenedione,160531.0,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(=O)C4)C,286.4,2.9,34.1,0.0,2.0,0.0,PubChem,Available
60,5-fluorouridine,9427.0,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F,262.19,-1.7,119.0,4.0,7.0,2.0,PubChem,Available
61,"5-methoxy-N,N-dimethyltryptamine",1832.0,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,218.29,1.5,28.3,1.0,2.0,4.0,PubChem,Available
62,5-methyltetrahydrofolic acid,135415868.0,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,459.5,-0.5,198.0,7.0,10.0,9.0,PubChem,Available
63,5beta-dihydrotestosterone,11302.0,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,290.4,3.7,37.3,1.0,2.0,0.0,PubChem,Available
64,"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE",6604229.0,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,380.7,0.6,135.0,3.0,7.0,2.0,PubChem,Available
65,6-Deoxyerythronolide B,121904.0,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)O)C)O)C)C)C)O)C,386.5,3.1,104.0,3.0,6.0,1.0,PubChem,Available
66,6-O-benzylguanine,4578.0,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,241.25,1.2,89.7,2.0,5.0,3.0,PubChem,Available
67,"6S-5,6,7,8-Tetrahydrobiopterin",135509079.0,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,241.25,-1.9,132.0,6.0,6.0,2.0,PubChem,Available
68,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",123920.0,C1CNCC2=C1C=CC(=C2Cl)Cl,202.08,2.6,12.0,1.0,1.0,0.0,PubChem,Available
69,"7,9-Dimethylguanine",131704185.0,CN1C=[N+](C2=C1C(NC(N2)N)O)C,184.22,-1.6,79.1,4.0,4.0,0.0,PubChem,Available
